hourlytemp,item,number_sold
48,"Cappuccino, Unknown",3
49,Latte,4
50,"Drip Coffee",5
51,Latte,15
52,Latte,18
53,"Cappuccino, Unknown",16
53,Latte,16
54,Latte,12
54,"Cappuccino, Unknown",12
55,Latte,19
56,"Cappuccino, Unknown",32
57,Latte,50
58,Latte,58
58,"Drip Coffee",58
59,Latte,75
60,"Drip Coffee",121
61,Latte,116
62,"New Orleans Iced Coffee (cup)",145
63,"New Orleans Iced Coffee (cup)",121
64,"New Orleans Iced Coffee (cup)",153
65,Latte,120
66,"New Orleans Iced Coffee (cup)",99
67,"New Orleans Iced Coffee (cup)",125
68,"New Orleans Iced Coffee (cup)",65
69,"New Orleans Iced Coffee (cup)",72
70,Latte,40
71,"Drip Coffee",32
72,"Cappuccino, Unknown",39
73,"New Orleans Iced Coffee (cup)",27
74,"New Orleans Iced Coffee (cup)",26
74,"Cappuccino, Unknown",26
75,"New Orleans Iced Coffee (cup)",29
76,"New Orleans Iced Coffee (cup)",29
77,"New Orleans Iced Coffee (cup)",15
78,"New Orleans Iced Coffee (cup)",16
79,"New Orleans Iced Coffee (cup)",9
80,"Drip Coffee",7
81,"Drip Coffee",6
82,"Drip Coffee",3
82,Latte,3
83,Latte,3
83,"Cappuccino, Unknown",3
83,"S.O. Iced Coffee",3
83,"S.O. Iced - 4 oz Oji",3
84,"New Orleans Iced Coffee (cup)",2
85,"New Orleans Iced Coffee (cup)",5
86,Latte,1
87,"Drip Coffee",1
87,"Cappuccino, Unknown",1
87,"Chemex Coffee",1
